merchant_id,date,hour,hourly_transactions,hourly_revenue,rolling_mean,rolling_std,z_score,is_anomaly
m-001,2025-09-18,7,2,121.67,2.0,1.0,0.0,False
m-001,2025-09-18,8,2,148.75,2.0,0.0,0.0,False
m-001,2025-09-18,9,7,504.92,3.67,2.89,1.15,False
m-001,2025-09-18,10,5,889.9,4.0,2.45,0.41,False
m-001,2025-09-18,12,3,411.75,3.8,2.17,-0.37,False
m-001,2025-09-18,13,9,696.49,4.67,2.88,1.5,False
m-001,2025-09-18,14,5,728.13,4.71,2.63,0.11,False
m-001,2025-09-18,15,5,609.59,4.75,2.43,0.1,False
m-001,2025-09-18,16,2,131.06,4.44,2.46,-0.99,False
m-001,2025-09-18,17,5,823.37,4.5,2.32,0.22,False
m-001,2025-09-18,18,4,607.65,4.45,2.21,-0.2,False
m-001,2025-09-18,19,3,510.9,4.33,2.15,-0.62,False
m-001,2025-09-18,20,6,873.37,4.46,2.11,0.73,False
m-001,2025-09-18,21,2,237.55,4.29,2.13,-1.08,False
m-001,2025-09-19,6,2,335.13,4.13,2.13,-1.0,False
m-001,2025-09-19,7,1,249.66,3.94,2.21,-1.33,False
m-001,2025-09-19,8,2,237.98,3.82,2.19,-0.83,False
m-001,2025-09-19,9,11,813.67,4.22,2.71,2.5,False
m-001,2025-09-19,10,6,871.64,4.32,2.67,0.63,False
m-001,2025-09-19,11,3,320.76,4.25,2.61,-0.48,False
m-001,2025-09-19,12,2,451.08,4.14,2.59,-0.83,False
m-001,2025-09-19,13,13,1334.1,4.55,3.16,2.67,False
m-001,2025-09-19,14,9,1172.66,4.74,3.22,1.32,False
m-001,2025-09-19,15,3,428.44,4.67,3.17,-0.53,False
m-001,2025-09-19,16,6,785.17,4.83,3.13,0.37,False
m-001,2025-09-19,17,4,499.26,4.92,3.08,-0.3,False
m-001,2025-09-19,18,9,1057.13,5.0,3.16,1.27,False
m-001,2025-09-19,19,3,201.0,4.92,3.19,-0.6,False
m-001,2025-09-19,20,3,458.9,4.92,3.19,-0.6,False
m-001,2025-09-19,21,4,438.58,4.71,3.07,-0.23,False
m-001,2025-09-19,22,1,75.28,4.54,3.16,-1.12,False
m-001,2025-09-20,6,1,268.53,4.38,3.24,-1.04,False
m-001,2025-09-20,8,4,392.07,4.46,3.2,-0.14,False
m-001,2025-09-20,9,6,1540.69,4.5,3.22,0.47,False
m-001,2025-09-20,10,8,755.31,4.67,3.29,1.01,False
m-001,2025-09-20,11,4,431.84,4.71,3.28,-0.22,False
m-001,2025-09-20,12,10,1126.34,4.88,3.44,1.49,False
m-001,2025-09-20,13,11,1022.87,5.25,3.6,1.6,False
m-001,2025-09-20,14,9,915.04,5.54,3.61,0.96,False
m-001,2025-09-20,15,3,693.03,5.62,3.52,-0.74,False
m-001,2025-09-20,16,2,296.43,5.62,3.52,-1.03,False
m-001,2025-09-20,17,3,314.99,5.29,3.37,-0.68,False
m-001,2025-09-20,18,6,461.75,5.29,3.37,0.21,False
m-001,2025-09-20,19,5,363.64,5.38,3.33,-0.11,False
m-001,2025-09-20,20,10,724.01,5.71,3.38,1.27,False
m-001,2025-09-20,22,3,196.21,5.29,3.04,-0.75,False
m-001,2025-09-21,6,1,47.84,4.96,3.06,-1.29,False
m-001,2025-09-21,7,1,142.3,4.88,3.14,-1.24,False
m-001,2025-09-21,8,3,335.3,4.75,3.15,-0.56,False
m-001,2025-09-21,9,12,1406.26,5.08,3.48,1.99,False
m-001,2025-09-21,10,10,1379.32,5.12,3.53,1.38,False
m-001,2025-09-21,11,7,1008.25,5.29,3.52,0.49,False
m-001,2025-09-21,12,9,690.13,5.54,3.56,0.97,False
m-001,2025-09-21,13,13,1613.7,5.92,3.86,1.83,False
m-001,2025-09-21,14,2,185.7,5.96,3.8,-1.04,False
m-001,2025-09-21,15,3,301.16,6.04,3.71,-0.82,False
m-001,2025-09-21,17,5,602.04,6.08,3.69,-0.29,False
m-001,2025-09-21,18,9,1337.44,6.21,3.74,0.75,False
m-001,2025-09-21,19,7,645.56,6.17,3.73,0.22,False
m-001,2025-09-21,20,4,284.96,6.17,3.73,-0.58,False
m-001,2025-09-21,21,4,618.94,5.92,3.66,-0.52,False
m-001,2025-09-21,22,1,245.24,5.5,3.62,-1.24,False
m-001,2025-09-22,6,1,83.22,5.17,3.66,-1.14,False
m-001,2025-09-22,8,7,938.96,5.33,3.64,0.46,False
m-001,2025-09-22,9,9,881.1,5.62,3.65,0.93,False
m-001,2025-09-22,10,7,864.1,5.79,3.61,0.34,False
m-001,2025-09-22,11,5,252.3,5.75,3.61,-0.21,False
m-001,2025-09-22,12,6,554.61,5.79,3.61,0.06,False
m-001,2025-09-22,13,8,937.77,5.71,3.53,0.65,False
m-001,2025-09-22,14,6,458.48,5.83,3.48,0.05,False
m-001,2025-09-22,15,3,263.13,5.92,3.39,-0.86,False
m-001,2025-09-22,16,4,325.5,6.04,3.25,-0.63,False
