customer_id,merchant_id,recency_days,frequency,monetary_value,avg_order_value,min_order_value,max_order_value,distinct_products_bought,distinct_categories_bought,customer_tenure_days,avg_purchase_interval_days,weekend_tx_ratio,evening_tx_ratio,target_segment,churn_risk_score,split
cust-00001,m-001,52,9,1011.79,112.42,61.38,245.24,6,1,350,37.2,0.444,0.111,AT_RISK,33.31,TRAIN
cust-00002,m-001,39,12,1494.62,124.55,35.57,391.86,7,1,300,23.7,0.583,0.417,AT_RISK,32.67,TEST
cust-00003,m-001,44,12,1160.82,96.74,35.19,261.24,9,1,362,28.9,0.333,0.083,AT_RISK,31.74,TRAIN
cust-00004,m-001,65,7,646.01,92.29,35.19,166.41,6,1,353,48.0,0.714,0.286,INACTIVE,39.27,TRAIN
cust-00005,m-001,46,12,1288.14,107.35,35.19,184.14,9,1,332,26.0,0.333,0.25,AT_RISK,40.36,TEST
cust-00006,m-001,32,16,1491.09,93.19,35.19,339.54,9,1,332,20.0,0.375,0.312,AT_RISK,25.21,TEST
cust-00007,m-001,45,11,993.33,90.3,35.57,391.86,8,1,345,30.0,0.182,0.273,AT_RISK,32.25,TRAIN
cust-00008,m-001,74,13,1781.98,137.08,35.19,426.9,8,1,341,22.2,0.538,0.231,INACTIVE,93.93,TRAIN
cust-00009,m-001,35,9,756.75,84.08,47.84,142.3,7,1,358,40.4,0.222,0.556,AT_RISK,7.31,TRAIN
cust-00010,m-001,123,8,781.15,97.64,35.57,261.24,7,1,293,24.3,0.25,0.125,INACTIVE,100.0,TEST
cust-00011,m-001,33,17,1699.32,99.96,37.64,284.6,8,1,356,20.2,0.412,0.294,AT_RISK,26.13,TRAIN
cust-00012,m-001,33,10,945.05,94.5,37.64,145.56,8,1,334,33.4,0.5,0.4,AT_RISK,7.39,VALIDATION
cust-00013,m-001,63,11,1215.0,110.45,50.53,245.52,8,1,288,22.5,0.273,0.182,INACTIVE,77.1,TRAIN
cust-00014,m-001,59,9,938.21,104.25,35.19,261.24,7,1,343,35.5,0.333,0.222,AT_RISK,48.11,VALIDATION
cust-00015,m-001,60,14,1620.72,115.77,47.84,426.9,9,1,352,22.5,0.643,0.071,AT_RISK,69.0,TRAIN
cust-00016,m-001,162,13,1473.38,113.34,35.19,367.86,9,1,331,14.1,0.231,0.077,INACTIVE,100.0,TRAIN
cust-00017,m-001,33,11,1055.56,95.96,35.57,284.6,9,1,317,28.4,0.636,0.182,AT_RISK,14.68,VALIDATION
cust-00018,m-001,51,9,697.4,77.49,35.19,113.18,6,1,296,30.6,0.556,0.444,AT_RISK,43.48,TRAIN
cust-00019,m-001,119,8,965.96,120.74,35.57,426.9,7,1,349,32.9,0.125,0.0,INACTIVE,100.0,TRAIN
cust-00020,m-001,86,12,819.21,68.27,35.19,113.18,7,1,359,24.8,0.333,0.333,INACTIVE,100.0,TRAIN
cust-00021,m-001,113,8,966.15,120.77,55.47,367.86,6,1,360,35.3,0.125,0.25,INACTIVE,100.0,VALIDATION
cust-00022,m-001,31,14,2204.74,157.48,35.57,569.2,10,1,323,22.5,0.5,0.143,AT_RISK,19.93,VALIDATION
cust-00023,m-001,72,14,1820.67,130.05,37.64,284.6,10,1,350,21.4,0.071,0.286,INACTIVE,91.28,VALIDATION
cust-00024,m-001,41,15,1690.25,112.68,35.57,426.9,9,1,363,23.0,0.133,0.267,AT_RISK,35.45,TRAIN
cust-00025,m-001,78,8,961.74,120.22,36.39,245.52,5,1,319,34.4,0.375,0.5,INACTIVE,83.68,TRAIN
cust-00026,m-001,41,9,612.31,68.03,35.19,151.59,6,1,333,36.5,0.222,0.556,AT_RISK,15.96,TRAIN
cust-00027,m-001,35,16,1419.0,88.69,35.19,142.3,10,1,362,21.8,0.375,0.562,AT_RISK,27.03,TRAIN
cust-00028,m-001,32,10,1146.16,114.62,55.47,166.44,8,1,331,33.2,0.3,0.2,AT_RISK,7.23,VALIDATION
cust-00029,m-001,31,17,1977.78,116.34,35.19,339.54,12,1,361,20.6,0.294,0.353,AT_RISK,22.02,TRAIN
cust-00030,m-001,74,10,1034.89,103.49,36.39,226.36,9,1,217,15.9,0.3,0.4,INACTIVE,100.0,TRAIN
cust-00031,m-001,45,15,1475.05,98.34,35.19,202.12,9,1,339,21.0,0.2,0.267,AT_RISK,45.93,TRAIN
cust-00032,m-001,35,6,1047.89,174.65,61.38,391.86,6,1,354,63.8,0.333,0.5,AT_RISK,7.39,TRAIN
cust-00033,m-001,63,6,881.09,146.85,35.57,490.48,5,1,270,41.4,0.333,0.333,INACTIVE,49.84,TRAIN
cust-00034,m-001,50,13,1351.03,103.93,35.19,202.12,11,1,361,25.9,0.308,0.615,AT_RISK,46.51,TRAIN
