result_id,campaign_id,merchant_id,revenue_before,revenue_during_after,transaction_counts_before,transaction_counts_after,customer_counts_before,customer_counts_after,expected_lift_percent,actual_lift_percent,roi,is_successful
res-0001,camp-0001,m-001,308190.14,392017.86,1292,1678,581,691,25.0,27.2,9.6,True
res-0002,camp-0002,m-001,340988.07,356332.53,1520,1595,684,705,15.0,4.5,0.34,False
res-0003,camp-0003,m-002,298605.89,337723.26,1309,1497,589,643,12.0,13.1,3.75,True
res-0004,camp-0004,m-002,216718.69,260062.43,1103,1345,496,565,18.0,20.0,6.4,True
res-0005,camp-0005,m-002,220057.7,232821.05,947,1007,426,443,22.0,5.8,0.35,False
res-0006,camp-0006,m-002,222324.19,275904.32,1208,1528,543,634,22.0,24.1,9.34,True
res-0007,camp-0007,m-003,297664.08,336955.74,1641,1879,738,806,12.0,13.2,8.82,True
res-0008,camp-0008,m-003,319391.0,414888.91,1746,2320,785,949,25.0,29.9,7.2,True
res-0009,camp-0009,m-003,268641.09,336607.29,1335,1706,600,706,22.0,25.3,5.97,True
res-0010,camp-0010,m-003,232992.06,294268.97,1226,1580,551,652,25.0,26.3,7.87,True
res-0011,camp-0011,m-004,194693.3,200923.49,999,1034,449,459,20.0,3.2,-0.45,False
res-0012,camp-0012,m-004,233063.01,240521.03,1167,1208,525,536,20.0,3.2,-0.45,False
res-0013,camp-0013,m-005,192871.5,227202.63,963,1151,433,486,15.0,17.8,9.65,True
res-0014,camp-0014,m-005,229282.18,280641.39,1162,1448,522,603,22.0,22.4,4.61,True
res-0015,camp-0015,m-006,214017.31,263669.33,1065,1336,479,556,22.0,23.2,4.87,True
res-0016,camp-0016,m-006,348516.4,367684.8,1733,1837,779,808,18.0,5.5,-0.34,False
res-0017,camp-0017,m-006,349909.1,409743.56,1427,1695,642,718,15.0,17.1,7.99,True
res-0018,camp-0018,m-007,233251.39,288298.72,1153,1452,518,603,22.0,23.6,7.43,True
res-0019,camp-0019,m-007,275608.51,310059.57,1324,1506,595,647,12.0,12.5,7.25,True
res-0020,camp-0020,m-007,280756.7,320062.64,1154,1331,519,569,12.0,14.0,6.26,True
res-0021,camp-0021,m-008,190244.74,198805.75,1037,1088,466,480,18.0,4.5,0.97,False
res-0022,camp-0022,m-008,325242.9,400699.25,1347,1690,606,704,22.0,23.2,5.05,True
res-0023,camp-0023,m-009,264420.69,291391.6,1411,1569,634,679,25.0,10.2,0.6,False
res-0024,camp-0024,m-009,317994.55,374915.57,1344,1608,604,679,18.0,17.9,9.41,True
res-0025,camp-0025,m-010,305312.92,326379.51,1355,1457,609,638,15.0,6.9,0.2,False
res-0026,camp-0026,m-010,270871.43,294437.24,1130,1238,508,538,22.0,8.7,0.42,False
res-0027,camp-0027,m-011,229691.71,257714.1,1088,1234,489,530,12.0,12.2,4.1,True
res-0028,camp-0028,m-011,227310.98,268454.27,1259,1509,566,637,15.0,18.1,3.63,True
