transaction_id,merchant_id,customer_id,product_id,timestamp,quantity,unit_price,total_amount,payment_method,status,channel
txn-0000001,m-001,cust-01040,p-0012,2025-09-18 10:46:15,1,83.22,83.22,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000002,m-003,cust-02861,p-0026,2025-09-18 06:42:33,1,250.33,250.33,UPI,SUCCESS,OFFLINE_STORE
txn-0000003,m-004,,p-0036,2025-09-18 18:46:12,1,687.11,687.11,UPI,SUCCESS,OFFLINE_STORE
txn-0000004,m-040,,p-0417,2025-09-18 16:12:50,1,574.12,574.12,UPI,SUCCESS,OFFLINE_STORE
txn-0000005,m-005,,p-0047,2025-09-18 07:07:54,1,342.62,342.62,SOUNDBOX_CARD,SUCCESS,SOUNDBOX
txn-0000006,m-015,cust-09686,p-0151,2025-09-18 13:59:56,1,60.07,60.07,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000007,m-020,cust-09008,p-0198,2025-09-18 07:49:28,1,46.22,46.22,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000008,m-003,,p-0029,2025-09-18 14:55:12,1,57.37,57.37,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000009,m-037,cust-04755,p-0390,2025-09-18 12:25:15,1,44.95,44.95,CASH,SUCCESS,POS_TERMINAL
txn-0000010,m-001,,p-0013,2025-09-18 12:56:34,1,89.51,89.51,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000011,m-017,cust-07424,p-0164,2025-09-18 09:38:12,1,125.45,125.45,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000012,m-001,cust-00573,p-0014,2025-09-18 20:32:37,2,142.3,284.6,UPI,SUCCESS,POS_TERMINAL
txn-0000013,m-010,,p-0102,2025-09-18 17:50:38,1,84.45,84.45,UPI,SUCCESS,OFFLINE_STORE
txn-0000014,m-001,,p-0006,2025-09-18 18:18:09,1,35.19,35.19,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000015,m-025,cust-05335,p-0261,2025-09-18 13:03:05,1,685.18,685.18,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000016,m-001,cust-08243,p-0012,2025-09-18 19:47:41,3,83.22,249.66,SOUNDBOX_CARD,SUCCESS,SOUNDBOX
txn-0000017,m-003,,p-0027,2025-09-18 21:21:14,4,409.29,1637.16,UPI,SUCCESS,POS_TERMINAL
txn-0000018,m-001,cust-00560,p-0007,2025-09-18 19:08:29,1,130.62,130.62,PAYTM_WALLET,SUCCESS,OFFLINE_STORE
txn-0000019,m-013,,p-0128,2025-09-18 08:40:49,1,2897.77,2897.77,PAYTM_WALLET,SUCCESS,OFFLINE_STORE
txn-0000020,m-003,,p-0024,2025-09-18 11:06:32,1,97.44,97.44,UPI,SUCCESS,QR_STAND
txn-0000021,m-001,cust-01306,p-0001,2025-09-18 08:22:54,1,35.57,35.57,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000022,m-002,cust-01836,p-0019,2025-09-18 06:28:39,1,2972.2,2972.2,PAYTM_WALLET,SUCCESS,OFFLINE_STORE
txn-0000023,m-043,cust-05213,p-0444,2025-09-18 15:34:28,1,336.04,336.04,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000024,m-041,cust-05929,p-0424,2025-09-18 08:14:39,3,54.85,164.55,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000025,m-027,cust-07485,p-0280,2025-09-18 19:07:45,1,416.57,416.57,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000026,m-001,cust-01316,p-0009,2025-09-18 13:41:08,1,61.38,61.38,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000027,m-001,cust-00141,p-0009,2025-09-18 14:11:23,1,61.38,61.38,PAYTM_WALLET,SUCCESS,POS_TERMINAL
txn-0000028,m-002,cust-02295,p-0017,2025-09-18 10:57:11,1,1485.43,1485.43,CASH,SUCCESS,OFFLINE_STORE
txn-0000029,m-039,,p-0408,2025-09-18 13:22:31,1,104.08,104.08,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000030,m-011,cust-09541,p-0112,2025-09-18 19:16:01,1,73.87,73.87,PAYTM_WALLET,SUCCESS,QR_STAND
txn-0000031,m-035,,p-0366,2025-09-18 11:28:13,1,1315.1,1315.1,CASH,SUCCESS,QR_STAND
txn-0000032,m-002,,p-0020,2025-09-18 18:19:29,1,401.92,401.92,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000033,m-041,cust-08105,p-0422,2025-09-18 13:57:30,2,357.44,714.88,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000034,m-002,cust-02465,p-0015,2025-09-18 07:01:59,1,377.97,377.97,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000035,m-001,cust-01435,p-0001,2025-09-18 13:41:58,1,35.57,35.57,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000036,m-037,,p-0390,2025-09-18 19:21:41,1,44.95,44.95,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000037,m-004,,p-0039,2025-09-18 13:06:05,1,482.75,482.75,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000038,m-002,cust-02364,p-0021,2025-09-18 13:20:26,1,2348.26,2348.26,SOUNDBOX_CARD,SUCCESS,SOUNDBOX
txn-0000039,m-014,,p-0140,2025-09-18 11:23:43,1,505.99,505.99,CASH,SUCCESS,POS_TERMINAL
txn-0000040,m-001,cust-00208,p-0012,2025-09-18 09:12:54,1,83.22,83.22,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000041,m-003,,p-0033,2025-09-18 09:37:52,1,330.49,330.49,UPI,SUCCESS,QR_STAND
txn-0000042,m-003,cust-02715,p-0027,2025-09-18 21:37:03,1,409.29,409.29,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000043,m-029,cust-08000,p-0305,2025-09-18 09:34:59,1,24.87,24.87,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000044,m-001,,p-0004,2025-09-18 13:42:34,1,50.53,50.53,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000045,m-040,cust-09609,p-0417,2025-09-18 09:41:03,3,574.12,1722.36,UPI,SUCCESS,QR_STAND
txn-0000046,m-003,cust-03356,p-0033,2025-09-18 20:52:12,2,330.49,660.98,SOUNDBOX_CARD,SUCCESS,SOUNDBOX
txn-0000047,m-017,cust-08654,p-0162,2025-09-18 10:59:00,3,340.01,1020.03,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000048,m-011,cust-09002,p-0105,2025-09-18 14:04:57,1,53.14,53.14,PAYTM_WALLET,SUCCESS,OFFLINE_STORE
txn-0000049,m-001,cust-00860,p-0011,2025-09-18 09:16:06,1,47.84,47.84,PAYTM_WALLET,SUCCESS,QR_STAND
txn-0000050,m-008,,p-0075,2025-09-18 17:51:44,1,860.33,860.33,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000051,m-003,cust-03055,p-0028,2025-09-18 12:58:24,1,27.64,27.64,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000052,m-018,,p-0181,2025-09-18 13:54:42,2,142.42,284.84,PAYTM_WALLET,SUCCESS,POS_TERMINAL
txn-0000053,m-001,cust-00311,p-0010,2025-09-18 09:32:12,1,122.62,122.62,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000054,m-008,cust-07569,p-0074,2025-09-18 10:01:31,1,1207.84,1207.84,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000055,m-025,,p-0261,2025-09-18 18:43:43,1,685.18,685.18,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000056,m-002,cust-02107,p-0015,2025-09-18 19:41:09,1,377.97,377.97,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000057,m-009,cust-09781,p-0089,2025-09-18 13:03:59,3,188.25,564.75,UPI,SUCCESS,QR_STAND
txn-0000058,m-004,,p-0036,2025-09-18 13:21:24,1,687.11,687.11,SOUNDBOX_CARD,SUCCESS,SOUNDBOX
txn-0000059,m-001,,p-0005,2025-09-18 17:04:07,2,37.64,75.28,SOUNDBOX_CARD,SUCCESS,SOUNDBOX
txn-0000060,m-001,cust-01373,p-0003,2025-09-18 20:54:13,1,55.47,55.47,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000061,m-003,cust-07691,p-0031,2025-09-18 10:20:20,3,64.31,192.93,PAYTM_WALLET,SUCCESS,POS_TERMINAL
txn-0000062,m-002,cust-09966,p-0018,2025-09-18 13:37:50,1,237.28,237.28,SOUNDBOX_CARD,SUCCESS,SOUNDBOX
txn-0000063,m-024,,p-0248,2025-09-18 11:02:09,1,54.88,54.88,SOUNDBOX_CARD,SUCCESS,SOUNDBOX
txn-0000064,m-003,cust-02884,p-0032,2025-09-18 15:33:36,3,312.84,938.52,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000065,m-003,,p-0026,2025-09-18 13:01:10,1,250.33,250.33,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000066,m-010,,p-0098,2025-09-18 09:19:06,1,87.95,87.95,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000067,m-001,cust-00733,p-0004,2025-09-18 07:58:15,1,50.53,50.53,UPI,SUCCESS,POS_TERMINAL
txn-0000068,m-002,cust-01730,p-0017,2025-09-18 08:31:17,1,1485.43,1485.43,UPI,SUCCESS,OFFLINE_STORE
txn-0000069,m-047,cust-04734,p-0494,2025-09-18 20:48:26,2,31.12,62.24,UPI,SUCCESS,QR_STAND
txn-0000070,m-043,,p-0451,2025-09-18 20:14:00,1,659.07,659.07,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000071,m-026,cust-08644,p-0264,2025-09-18 11:03:19,1,40.34,40.34,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000072,m-001,cust-00870,p-0002,2025-09-18 18:28:35,4,36.39,145.56,PAYTM_WALLET,SUCCESS,QR_STAND
txn-0000073,m-001,cust-00067,p-0002,2025-09-18 09:17:21,1,36.39,36.39,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000074,m-036,cust-08590,p-0377,2025-09-18 13:24:18,4,28.43,113.72,UPI,SUCCESS,QR_STAND
txn-0000075,m-002,cust-02227,p-0019,2025-09-18 18:33:47,1,2972.2,2972.2,PAYTM_WALLET,FAILED,POS_TERMINAL
txn-0000076,m-004,,p-0039,2025-09-18 12:24:07,1,482.75,482.75,CASH,SUCCESS,POS_TERMINAL
txn-0000077,m-002,cust-02295,p-0022,2025-09-18 13:34:49,1,426.03,426.03,SOUNDBOX_QR,SUCCESS,SOUNDBOX
txn-0000078,m-024,cust-09798,p-0251,2025-09-18 12:26:53,1,219.15,219.15,UPI,SUCCESS,OFFLINE_STORE
