customer_id,merchant_id,recency_days,frequency,monetary_value,avg_ticket_size,tenure_days,rfm_segment,churn_risk_score
cust-00001,m-001,52,9,1011.79,112.42,350,AT_RISK,17.81
cust-00002,m-001,39,12,1494.62,124.55,300,AT_RISK,15.26
cust-00003,m-001,44,12,1160.82,96.74,362,AT_RISK,14.43
cust-00004,m-001,65,7,646.01,92.29,353,INACTIVE,22.11
cust-00005,m-001,46,12,1288.14,107.35,332,AT_RISK,16.12
cust-00006,m-001,32,16,1491.09,93.19,332,AT_RISK,11.37
cust-00007,m-001,45,11,993.33,90.3,345,AT_RISK,15.51
cust-00008,m-001,74,13,1781.98,137.08,341,INACTIVE,23.78
cust-00009,m-001,35,9,756.75,84.08,358,AT_RISK,12.75
cust-00010,m-001,123,8,781.15,97.64,293,INACTIVE,45.17
cust-00011,m-001,33,17,1699.32,99.96,356,AT_RISK,10.91
cust-00012,m-001,33,10,945.05,94.5,334,AT_RISK,12.58
cust-00013,m-001,63,11,1215.0,110.45,288,INACTIVE,24.3
cust-00014,m-001,59,9,938.21,104.25,343,AT_RISK,20.15
cust-00015,m-001,60,14,1620.72,115.77,352,AT_RISK,19.0
cust-00016,m-001,162,13,1473.38,113.34,331,INACTIVE,50.94
cust-00017,m-001,33,11,1055.56,95.96,317,AT_RISK,12.88
cust-00018,m-001,51,9,697.4,77.49,296,AT_RISK,20.17
cust-00019,m-001,119,8,965.96,120.74,349,INACTIVE,37.33
cust-00020,m-001,86,12,819.21,68.27,359,INACTIVE,26.2
cust-00021,m-001,113,8,966.15,120.77,360,INACTIVE,34.64
cust-00022,m-001,31,14,2204.74,157.48,323,AT_RISK,11.57
cust-00023,m-001,72,14,1820.67,130.05,350,INACTIVE,22.51
cust-00024,m-001,41,15,1690.25,112.68,363,AT_RISK,13.14
cust-00025,m-001,78,8,961.74,120.22,319,INACTIVE,27.71
cust-00026,m-001,41,9,612.31,68.03,333,AT_RISK,15.28
cust-00027,m-001,35,16,1419.0,88.69,362,AT_RISK,11.41
cust-00028,m-001,32,10,1146.16,114.62,331,AT_RISK,12.37
cust-00029,m-001,31,17,1977.78,116.34,361,AT_RISK,10.23
cust-00030,m-001,74,10,1034.89,103.49,217,INACTIVE,36.67
cust-00031,m-001,45,15,1475.05,98.34,339,AT_RISK,15.11
cust-00032,m-001,35,6,1047.89,174.65,354,AT_RISK,14.14
cust-00033,m-001,63,6,881.09,146.85,270,INACTIVE,27.53
cust-00034,m-001,50,13,1351.03,103.93,361,AT_RISK,15.96
cust-00035,m-001,43,14,1960.78,140.06,288,AT_RISK,16.88
cust-00036,m-001,44,9,961.25,106.81,228,AT_RISK,22.21
cust-00037,m-001,40,15,1953.0,130.2,258,AT_RISK,17.32
cust-00038,m-001,51,13,1320.75,101.6,336,AT_RISK,17.28
cust-00039,m-001,49,12,1356.77,113.06,363,AT_RISK,15.77
cust-00040,m-001,40,10,1289.69,128.97,286,AT_RISK,16.66
cust-00041,m-001,40,15,1275.28,85.02,289,AT_RISK,15.67
cust-00042,m-001,54,7,748.67,106.95,354,AT_RISK,18.96
cust-00043,m-001,75,8,769.75,96.22,348,INACTIVE,24.82
cust-00044,m-001,48,11,850.02,77.27,315,AT_RISK,17.69
cust-00045,m-001,147,14,1442.48,103.03,363,INACTIVE,42.38
cust-00046,m-001,33,14,2029.24,144.95,307,AT_RISK,12.71
cust-00047,m-001,84,6,1474.06,245.68,337,INACTIVE,29.14
cust-00048,m-001,81,8,739.4,92.42,337,INACTIVE,27.3
cust-00049,m-001,52,12,1226.63,102.22,358,AT_RISK,16.79
cust-00050,m-001,53,12,1252.4,104.37,361,AT_RISK,16.95
cust-00051,m-001,44,10,1541.8,154.18,296,AT_RISK,17.54
cust-00052,m-001,36,11,1256.95,114.27,355,AT_RISK,12.61
cust-00053,m-001,92,11,1115.53,101.41,358,INACTIVE,28.13
cust-00054,m-001,99,5,1233.79,246.76,359,INACTIVE,32.5
cust-00055,m-001,43,11,1714.89,155.9,345,AT_RISK,14.93
cust-00056,m-001,42,8,993.16,124.14,270,AT_RISK,18.83
cust-00057,m-001,74,11,1463.4,133.04,331,INACTIVE,24.79
cust-00058,m-001,50,10,1169.44,116.94,338,AT_RISK,17.48
cust-00059,m-001,36,13,1160.95,89.3,362,AT_RISK,12.06
cust-00060,m-001,33,19,1504.96,79.21,360,AT_RISK,10.64
