campaign_id,merchant_id,merchant_category,merchant_size,campaign_type,target_segment,discount_type,discount_value,budget,revenue_before,actual_lift_percent,roi,is_recommended_success
camp-0001,m-001,Food & Beverage,MICRO,EVENING_REVIVAL,Inactive Regulars (312 customers) + Evening commuters,FLAT,16.0,4200.0,308190.14,27.2,9.6,True
camp-0002,m-001,Food & Beverage,MICRO,BASKET_SIZE_UPSELL,Weekend Shoppers,FLAT,50.0,3500.0,340988.07,4.5,0.34,False
camp-0003,m-002,Electronics,SMALL,CUSTOM,Dormant Regulars,PERCENTAGE,20.0,4200.0,298605.89,13.1,3.75,True
camp-0004,m-002,Electronics,SMALL,BASKET_SIZE_UPSELL,Dormant Regulars,PERCENTAGE,15.0,4200.0,216718.69,20.0,6.4,True
camp-0005,m-002,Electronics,SMALL,CUSTOM,Loyal Champions,PERCENTAGE,20.0,2500.0,220057.7,5.8,0.35,False
camp-0006,m-002,Electronics,SMALL,CUSTOM,Evening Commuters,PERCENTAGE,10.0,1500.0,222324.19,24.1,9.34,True
camp-0007,m-003,Grocery,MEDIUM,WEEKEND_SURGE,Dormant Regulars,PERCENTAGE,20.0,5500.0,297664.08,13.2,8.82,True
camp-0008,m-003,Grocery,MEDIUM,WEEKEND_SURGE,Loyal Champions,PERCENTAGE,20.0,1500.0,319391.0,29.9,7.2,True
camp-0009,m-003,Grocery,MEDIUM,SEASONAL_SPECIAL,Weekend Shoppers,FLAT,50.0,1500.0,268641.09,25.3,5.97,True
camp-0010,m-003,Grocery,MEDIUM,RETENTION_WINBACK,Weekend Shoppers,PERCENTAGE,25.0,4200.0,232992.06,26.3,7.87,True
camp-0011,m-004,Fashion,SMALL,BASKET_SIZE_UPSELL,All Lapsed Customers,PERCENTAGE,30.0,5000.0,194693.3,3.2,-0.45,False
camp-0012,m-004,Fashion,SMALL,WEEKEND_SURGE,All Lapsed Customers,PERCENTAGE,30.0,5000.0,233063.01,3.2,-0.45,False
camp-0013,m-005,Grocery,MICRO,RETENTION_WINBACK,Evening Commuters,PERCENTAGE,10.0,4200.0,192871.5,17.8,9.65,True
camp-0014,m-005,Grocery,MICRO,CUSTOM,Weekend Shoppers,PERCENTAGE,20.0,7500.0,229282.18,22.4,4.61,True
camp-0015,m-006,Services,MICRO,CUSTOM,Loyal Champions,PERCENTAGE,15.0,2500.0,214017.31,23.2,4.87,True
camp-0016,m-006,Services,MICRO,BASKET_SIZE_UPSELL,Weekend Shoppers,PERCENTAGE,10.0,2500.0,348516.4,5.5,-0.34,False
camp-0017,m-006,Services,MICRO,CUSTOM,Weekend Shoppers,FLAT,50.0,3500.0,349909.1,17.1,7.99,True
camp-0018,m-007,Electronics,MEDIUM,CUSTOM,Dormant Regulars,PERCENTAGE,15.0,7500.0,233251.39,23.6,7.43,True
camp-0019,m-007,Electronics,MEDIUM,EVENING_REVIVAL,Loyal Champions,PERCENTAGE,20.0,3500.0,275608.51,12.5,7.25,True
camp-0020,m-007,Electronics,MEDIUM,SEASONAL_SPECIAL,Loyal Champions,PERCENTAGE,20.0,1500.0,280756.7,14.0,6.26,True
camp-0021,m-008,Fashion,SMALL,CUSTOM,Loyal Champions,PERCENTAGE,15.0,5500.0,190244.74,4.5,0.97,False
camp-0022,m-008,Fashion,SMALL,CUSTOM,Weekend Shoppers,FLAT,49.0,4200.0,325242.9,23.2,5.05,True
camp-0023,m-009,Food & Beverage,SMALL,CUSTOM,Loyal Champions,PERCENTAGE,25.0,7500.0,264420.69,10.2,0.6,False
camp-0024,m-009,Food & Beverage,SMALL,CUSTOM,Weekend Shoppers,PERCENTAGE,20.0,2500.0,317994.55,17.9,9.41,True
camp-0025,m-010,Food & Beverage,MEDIUM,WEEKEND_SURGE,Evening Commuters,PERCENTAGE,25.0,3500.0,305312.92,6.9,0.2,False
camp-0026,m-010,Food & Beverage,MEDIUM,WEEKEND_SURGE,Weekend Shoppers,PERCENTAGE,10.0,1500.0,270871.43,8.7,0.42,False
camp-0027,m-011,Food & Beverage,MICRO,EVENING_REVIVAL,Dormant Regulars,PERCENTAGE,20.0,3500.0,229691.71,12.2,4.1,True
camp-0028,m-011,Food & Beverage,MICRO,SEASONAL_SPECIAL,Loyal Champions,PERCENTAGE,20.0,2500.0,227310.98,18.1,3.63,True
camp-0029,m-011,Food & Beverage,MICRO,BASKET_SIZE_UPSELL,Weekend Shoppers,FLAT,50.0,1500.0,212207.03,15.5,6.08,True
camp-0030,m-012,Beauty & Personal Care,MICRO,RETENTION_WINBACK,Loyal Champions,FLAT,50.0,5500.0,309964.89,9.6,0.87,False
camp-0031,m-012,Beauty & Personal Care,MICRO,CUSTOM,Evening Commuters,FLAT,49.0,3500.0,296607.61,12.0,8.03,True
camp-0032,m-012,Beauty & Personal Care,MICRO,SEASONAL_SPECIAL,Dormant Regulars,PERCENTAGE,25.0,4200.0,223253.93,20.3,8.23,True
camp-0033,m-013,Fashion,MICRO,CUSTOM,Weekend Shoppers,PERCENTAGE,25.0,4200.0,182529.35,17.5,8.76,True
camp-0034,m-013,Fashion,MICRO,WEEKEND_SURGE,Loyal Champions,PERCENTAGE,25.0,7500.0,328814.29,13.3,4.55,True
camp-0035,m-014,Electronics,MICRO,RETENTION_WINBACK,Dormant Regulars,PERCENTAGE,20.0,2500.0,268434.16,19.6,9.66,True
camp-0036,m-014,Electronics,MICRO,CUSTOM,Dormant Regulars,PERCENTAGE,20.0,2500.0,224464.8,22.3,4.65,True
camp-0037,m-014,Electronics,MICRO,SEASONAL_SPECIAL,Evening Commuters,FLAT,49.0,2500.0,237714.88,5.9,0.26,False
camp-0038,m-015,Food & Beverage,SMALL,CUSTOM,Dormant Regulars,PERCENTAGE,15.0,2500.0,185703.38,5.6,0.6,False
camp-0039,m-015,Food & Beverage,SMALL,CUSTOM,Dormant Regulars,PERCENTAGE,20.0,7500.0,274013.31,13.8,6.93,True
camp-0040,m-015,Food & Beverage,SMALL,RETENTION_WINBACK,Loyal Champions,PERCENTAGE,15.0,1500.0,244188.56,19.3,6.92,True
camp-0041,m-015,Food & Beverage,SMALL,CUSTOM,Weekend Shoppers,FLAT,49.0,3500.0,272141.14,9.6,0.49,False
camp-0042,m-016,Services,MEDIUM,EVENING_REVIVAL,Evening Commuters,PERCENTAGE,20.0,3500.0,263572.34,16.9,6.64,True
camp-0043,m-016,Services,MEDIUM,WEEKEND_SURGE,Weekend Shoppers,FLAT,49.0,1500.0,211411.18,12.9,4.95,True
camp-0044,m-016,Services,MEDIUM,EVENING_REVIVAL,Evening Commuters,PERCENTAGE,20.0,1500.0,257571.94,12.0,7.32,True
camp-0045,m-016,Services,MEDIUM,CUSTOM,Evening Commuters,FLAT,50.0,1500.0,247446.05,3.9,0.56,False
camp-0046,m-017,Pharmacy,MICRO,BASKET_SIZE_UPSELL,Weekend Shoppers,PERCENTAGE,10.0,5500.0,224319.19,5.5,-0.24,False
camp-0047,m-017,Pharmacy,MICRO,RETENTION_WINBACK,Evening Commuters,PERCENTAGE,20.0,2500.0,206326.64,5.1,0.65,False
camp-0048,m-018,Food & Beverage,MEDIUM,EVENING_REVIVAL,Loyal Champions,PERCENTAGE,25.0,4200.0,293899.56,19.5,9.68,True
camp-0049,m-018,Food & Beverage,MEDIUM,RETENTION_WINBACK,Evening Commuters,PERCENTAGE,20.0,2500.0,278846.4,13.1,7.15,True
camp-0050,m-019,Food & Beverage,SMALL,SEASONAL_SPECIAL,Dormant Regulars,FLAT,50.0,3500.0,342467.39,25.9,7.25,True
