merchant_id,date,daily_revenue,daily_transactions,unique_customers,avg_order_value,day_of_week,is_weekend,is_festival
m-001,2025-09-18,7295.1,60,48,121.58,Thursday,False,False
m-001,2025-09-19,9730.44,82,59,118.66,Friday,False,False
m-001,2025-09-20,9502.75,85,58,111.8,Saturday,True,False
m-001,2025-09-21,10844.14,91,67,119.17,Sunday,True,False
m-001,2025-09-22,8855.16,84,56,105.42,Monday,False,False
m-001,2025-09-23,8656.41,69,48,125.46,Tuesday,False,False
m-001,2025-09-24,6115.82,58,39,105.45,Wednesday,False,False
m-001,2025-09-25,6536.07,60,41,108.93,Thursday,False,False
m-001,2025-09-26,8705.27,74,53,117.64,Friday,False,False
m-001,2025-09-27,10431.14,95,58,109.8,Saturday,True,False
m-001,2025-09-28,9665.03,88,60,109.83,Sunday,True,False
m-001,2025-09-29,8062.6,68,47,118.57,Monday,False,False
m-001,2025-09-30,6696.51,70,46,95.66,Tuesday,False,False
m-001,2025-10-01,9607.28,72,51,133.43,Wednesday,False,False
m-001,2025-10-02,7863.61,68,53,115.64,Thursday,False,False
m-001,2025-10-03,8414.96,73,50,115.27,Friday,False,False
m-001,2025-10-04,11310.12,96,64,117.81,Saturday,True,False
m-001,2025-10-05,11903.95,102,74,116.71,Sunday,True,False
m-001,2025-10-06,10067.13,79,60,127.43,Monday,False,False
m-001,2025-10-07,8081.78,61,46,132.49,Tuesday,False,False
m-001,2025-10-08,7204.18,63,48,114.35,Wednesday,False,False
m-001,2025-10-09,7526.79,63,47,119.47,Thursday,False,False
m-001,2025-10-10,7306.79,71,56,102.91,Friday,False,False
m-001,2025-10-11,12705.02,95,68,133.74,Saturday,True,False
m-001,2025-10-12,10460.14,81,54,129.14,Sunday,True,False
m-001,2025-10-13,7717.14,66,48,116.93,Monday,False,False
m-001,2025-10-14,7737.98,69,46,112.14,Tuesday,False,False
m-001,2025-10-15,9231.56,69,47,133.79,Wednesday,False,False
m-001,2025-10-16,9797.13,71,53,137.99,Thursday,False,False
m-001,2025-10-17,8203.14,73,45,112.37,Friday,False,False
m-001,2025-10-18,11067.92,97,72,114.1,Saturday,True,False
m-001,2025-10-19,12157.81,102,75,119.19,Sunday,True,False
m-001,2025-10-20,13560.35,119,83,113.95,Monday,False,True
m-001,2025-10-21,18653.22,151,101,123.53,Tuesday,False,True
m-001,2025-10-22,12100.89,113,78,107.09,Wednesday,False,True
m-001,2025-10-23,7828.56,61,40,128.34,Thursday,False,False
m-001,2025-10-24,6525.82,67,49,97.4,Friday,False,False
m-001,2025-10-25,12671.32,102,68,124.23,Saturday,True,False
m-001,2025-10-26,9539.44,83,51,114.93,Sunday,True,False
m-001,2025-10-27,8671.49,76,57,114.1,Monday,False,False
m-001,2025-10-28,7432.79,71,51,104.69,Tuesday,False,False
m-001,2025-10-29,6482.68,59,38,109.88,Wednesday,False,False
m-001,2025-10-30,8019.59,64,40,125.31,Thursday,False,False
m-001,2025-10-31,8129.66,74,56,109.86,Friday,False,False
m-001,2025-11-01,12001.27,88,61,136.38,Saturday,True,False
m-001,2025-11-02,10520.14,88,62,119.55,Sunday,True,False
m-001,2025-11-03,10517.66,83,52,126.72,Monday,False,False
m-001,2025-11-04,9380.96,67,48,140.01,Tuesday,False,False
m-001,2025-11-05,7630.98,57,43,133.88,Wednesday,False,False
m-001,2025-11-06,7497.23,58,43,129.26,Thursday,False,False
m-001,2025-11-07,8050.07,68,48,118.38,Friday,False,False
m-001,2025-11-08,10010.68,87,55,115.07,Saturday,True,False
m-001,2025-11-09,10576.48,90,64,117.52,Sunday,True,False
m-001,2025-11-10,8839.18,72,54,122.77,Monday,False,False
m-001,2025-11-11,8034.77,77,51,104.35,Tuesday,False,False
m-001,2025-11-12,9053.16,77,47,117.57,Wednesday,False,False
m-001,2025-11-13,6312.6,58,39,108.84,Thursday,False,False
m-001,2025-11-14,7806.28,66,54,118.28,Friday,False,False
m-001,2025-11-15,10171.09,91,69,111.77,Saturday,True,False
m-001,2025-11-16,11131.69,92,62,121.0,Sunday,True,False
m-001,2025-11-17,9491.71,73,49,130.02,Monday,False,False
m-001,2025-11-18,8129.86,77,54,105.58,Tuesday,False,False
m-001,2025-11-19,8354.88,70,43,119.36,Wednesday,False,False
m-001,2025-11-20,6945.27,61,48,113.86,Thursday,False,False
m-001,2025-11-21,7809.73,69,53,113.18,Friday,False,False
m-001,2025-11-22,11812.99,92,63,128.4,Saturday,True,False
m-001,2025-11-23,9714.36,88,64,110.39,Sunday,True,False
m-001,2025-11-24,7276.73,73,53,99.68,Monday,False,False
m-001,2025-11-25,8513.67,63,43,135.14,Tuesday,False,False
m-001,2025-11-26,9523.59,73,54,130.46,Wednesday,False,False
m-001,2025-11-27,9689.66,77,53,125.84,Thursday,False,False
m-001,2025-11-28,8922.52,80,49,111.53,Friday,False,False
m-001,2025-11-29,11012.69,86,61,128.05,Saturday,True,False
m-001,2025-11-30,11439.48,96,65,119.16,Sunday,True,False
m-001,2025-12-01,8982.91,69,50,130.19,Monday,False,False
m-001,2025-12-02,6695.4,76,59,88.1,Tuesday,False,False
m-001,2025-12-03,8422.28,60,37,140.37,Wednesday,False,False
m-001,2025-12-04,7681.97,74,50,103.81,Thursday,False,False
m-001,2025-12-05,7405.64,70,46,105.79,Friday,False,False
m-001,2025-12-06,10200.03,92,68,110.87,Saturday,True,False
m-001,2025-12-07,11528.31,91,65,126.68,Sunday,True,False
m-001,2025-12-08,5695.15,53,36,107.46,Monday,False,False
m-001,2025-12-09,8833.31,67,43,131.84,Tuesday,False,False
m-001,2025-12-10,9703.47,83,62,116.91,Wednesday,False,False
m-001,2025-12-11,11372.65,72,53,157.95,Thursday,False,False
m-001,2025-12-12,8265.4,71,48,116.41,Friday,False,False
m-001,2025-12-13,9833.59,78,46,126.07,Saturday,True,False
m-001,2025-12-14,7929.18,82,58,96.7,Sunday,True,False
m-001,2025-12-15,8853.62,82,55,107.97,Monday,False,False
m-001,2025-12-16,7558.09,59,44,128.1,Tuesday,False,False
m-001,2025-12-17,8290.18,75,49,110.54,Wednesday,False,False
m-001,2025-12-18,7602.29,65,44,116.96,Thursday,False,False
m-001,2025-12-19,8372.78,75,57,111.64,Friday,False,False
m-001,2025-12-20,10114.33,87,61,116.26,Saturday,True,False
m-001,2025-12-21,10506.59,93,53,112.97,Sunday,True,False
m-001,2025-12-22,7732.21,63,48,122.73,Monday,False,False
m-001,2025-12-23,4795.32,52,38,92.22,Tuesday,False,False
m-001,2025-12-24,8075.75,77,54,104.88,Wednesday,False,False
m-001,2025-12-25,13347.36,96,69,139.04,Thursday,False,True
m-001,2025-12-26,7926.85,64,39,123.86,Friday,False,False
m-001,2025-12-27,9654.96,94,56,102.71,Saturday,True,False
m-001,2025-12-28,11719.28,92,59,127.38,Sunday,True,False
m-001,2025-12-29,6432.93,57,41,112.86,Monday,False,False
m-001,2025-12-30,7240.71,53,37,136.62,Tuesday,False,False
m-001,2025-12-31,15436.17,132,88,116.94,Wednesday,False,True
m-001,2026-01-01,12576.32,103,71,122.1,Thursday,False,True
m-001,2026-01-02,8863.21,67,47,132.29,Friday,False,False
m-001,2026-01-03,10458.96,85,62,123.05,Saturday,True,False
m-001,2026-01-04,7919.39,83,54,95.41,Sunday,True,False
m-001,2026-01-05,6018.43,60,42,100.31,Monday,False,False
m-001,2026-01-06,7349.89,65,43,113.08,Tuesday,False,False
m-001,2026-01-07,10089.63,90,60,112.11,Wednesday,False,False
m-001,2026-01-08,14779.55,75,52,197.06,Thursday,False,False
m-001,2026-01-09,6036.25,56,42,107.79,Friday,False,False
m-001,2026-01-10,8973.65,85,58,105.57,Saturday,True,False
m-001,2026-01-11,11561.13,93,69,124.31,Sunday,True,False
m-001,2026-01-12,7227.32,65,40,111.19,Monday,False,False
m-001,2026-01-13,7243.76,65,43,111.44,Tuesday,False,False
m-001,2026-01-14,8593.8,85,59,101.1,Wednesday,False,True
