merchant_id,date,revenue,transaction_count,unique_customers,avg_ticket_size,category,business_size,day_of_week,day_of_week_num,month,day_of_month,is_weekend,dow_sin,dow_cos,month_sin,month_cos,is_holiday_festival,has_active_campaign,lag_1_revenue,lag_2_revenue,lag_7_revenue,lag_14_revenue,lag_1_transactions,lag_7_transactions,lag_1_aov,rolling_7_revenue_mean,rolling_7_revenue_std,rolling_30_revenue_mean,target_revenue_next_day,target_revenue_next_7d,split
m-001,2025-09-18,7295.1,60.0,48.0,121.58,Food & Beverage,MICRO,Thursday,3,9,18,0,0.4339,-0.901,-1.0,-0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,9730.44,60240.79,TRAIN
m-001,2025-09-19,9730.44,82.0,59.0,118.66,Food & Beverage,MICRO,Friday,4,9,19,0,-0.4339,-0.901,-1.0,-0.0,0,0,7295.1,0.0,0.0,0.0,60,0,121.58,7295.1,0.0,7295.1,9502.75,59215.62,TRAIN
m-001,2025-09-20,9502.75,85.0,58.0,111.8,Food & Beverage,MICRO,Saturday,5,9,20,1,-0.9749,-0.2225,-1.0,-0.0,0,0,9730.44,7295.1,0.0,0.0,82,0,118.66,8512.77,1722.05,8512.77,10844.14,60144.01,TRAIN
m-001,2025-09-21,10844.14,91.0,67.0,119.17,Food & Beverage,MICRO,Sunday,6,9,21,1,-0.7818,0.6235,-1.0,-0.0,0,0,9502.75,9730.44,0.0,0.0,85,0,111.8,8842.76,1345.14,8842.76,8855.16,58964.9,TRAIN
m-001,2025-09-22,8855.16,84.0,56.0,105.42,Food & Beverage,MICRO,Monday,0,9,22,0,0.0,1.0,-1.0,-0.0,0,0,10844.14,9502.75,0.0,0.0,91,0,119.17,9343.11,1485.82,9343.11,8656.41,58172.34,TRAIN
m-001,2025-09-23,8656.41,69.0,48.0,125.46,Food & Beverage,MICRO,Tuesday,1,9,23,0,0.7818,0.6235,-1.0,-0.0,0,0,8855.16,10844.14,0.0,0.0,84,0,105.42,9245.52,1305.13,9245.52,6115.82,56212.44,TRAIN
m-001,2025-09-24,6115.82,58.0,39.0,105.45,Food & Beverage,MICRO,Wednesday,2,9,24,0,0.9749,-0.2225,-1.0,-0.0,0,0,8656.41,8855.16,0.0,0.0,69,0,125.46,9147.33,1191.86,9147.33,6536.07,59703.9,TRAIN
m-001,2025-09-25,6536.07,60.0,41.0,108.93,Food & Beverage,MICRO,Thursday,3,9,25,0,0.4339,-0.901,-1.0,-0.0,0,0,6115.82,8656.41,7295.1,0.0,58,60,105.45,8714.26,1580.08,8714.26,8705.27,61031.44,TRAIN
m-001,2025-09-26,8705.27,74.0,53.0,117.64,Food & Beverage,MICRO,Friday,4,9,26,0,-0.4339,-0.901,-1.0,-0.0,0,0,6536.07,6115.82,9730.44,0.0,60,82,108.93,8605.83,1714.06,8441.99,10431.14,60741.13,TRAIN
m-001,2025-09-27,10431.14,95.0,58.0,109.8,Food & Beverage,MICRO,Saturday,5,9,27,1,-0.9749,-0.2225,-1.0,-0.0,0,0,8705.27,6536.07,9502.75,0.0,74,85,117.64,8459.37,1644.33,8471.24,9665.03,61620.11,TRAIN
