merchant_id,date,hour,transactions_count,total_revenue,avg_order_value,refund_count,day_of_week,day_of_week_num,is_weekend,rolling_24h_tx_mean,rolling_24h_tx_std,rolling_24h_rev_mean,rolling_24h_rev_std,z_score_tx,z_score_revenue,drop_ratio_vs_expected,is_anomaly,anomaly_type,severity,split
m-001,2025-09-18,7,2,121.67,60.84,0,Thursday,3,0,1.0,1.0,1.0,1.0,1.0,120.67,1.0,1,REVENUE_SPIKE,CRITICAL,TRAIN
m-001,2025-09-18,8,2,148.75,74.38,0,Thursday,3,0,2.0,1.0,121.67,1.0,0.0,27.08,0.0,1,REVENUE_SPIKE,CRITICAL,TRAIN
m-001,2025-09-18,9,7,504.92,72.13,0,Thursday,3,0,2.0,0.0,135.21,19.15,5.0,19.31,2.5,1,REVENUE_SPIKE,CRITICAL,TRAIN
m-001,2025-09-18,10,5,889.9,177.98,0,Thursday,3,0,3.67,2.89,258.45,213.88,0.46,2.95,0.362,0,NORMAL,NONE,TRAIN
m-001,2025-09-18,12,3,411.75,137.25,0,Thursday,3,0,4.0,2.45,416.31,360.8,-0.41,-0.01,-0.25,0,NORMAL,NONE,TRAIN
m-001,2025-09-18,13,9,696.49,77.39,0,Thursday,3,0,3.8,2.17,415.4,312.47,2.4,0.9,1.368,0,NORMAL,NONE,TRAIN
m-001,2025-09-18,14,5,728.13,145.63,0,Thursday,3,0,4.67,2.88,462.25,302.13,0.11,0.88,0.071,0,NORMAL,NONE,TRAIN
m-001,2025-09-18,15,5,609.59,121.92,0,Thursday,3,0,4.71,2.63,500.23,293.54,0.11,0.37,0.062,0,NORMAL,NONE,TRAIN
m-001,2025-09-18,16,2,131.06,65.53,0,Thursday,3,0,4.75,2.43,513.9,274.5,-1.13,-1.39,-0.579,0,NORMAL,NONE,TRAIN
m-001,2025-09-18,17,5,823.37,164.67,0,Thursday,3,0,4.44,2.46,471.36,286.74,0.23,1.23,0.126,0,NORMAL,NONE,TRAIN
m-001,2025-09-18,18,4,607.65,151.91,0,Thursday,3,0,4.5,2.32,506.56,292.36,-0.22,0.35,-0.111,0,NORMAL,NONE,TRAIN
m-001,2025-09-18,19,3,510.9,170.3,0,Thursday,3,0,4.45,2.21,515.75,279.03,-0.66,-0.02,-0.326,0,NORMAL,NONE,TRAIN
m-001,2025-09-18,20,6,873.37,145.56,0,Thursday,3,0,4.33,2.15,515.35,266.04,0.78,1.35,0.386,0,NORMAL,NONE,TRAIN
m-001,2025-09-18,21,2,237.55,118.78,0,Thursday,3,0,4.46,2.11,542.89,273.39,-1.17,-1.12,-0.552,0,NORMAL,NONE,TRAIN
m-001,2025-09-19,6,2,335.13,167.56,0,Friday,4,0,4.29,2.13,521.08,275.05,-1.08,-0.68,-0.534,0,NORMAL,NONE,TRAIN
m-001,2025-09-19,7,1,249.66,249.66,0,Friday,4,0,4.13,2.13,508.68,269.36,-1.47,-0.96,-0.758,0,NORMAL,NONE,TRAIN
m-001,2025-09-19,8,2,237.98,118.99,0,Friday,4,0,3.94,2.21,492.49,268.16,-0.88,-0.95,-0.492,0,NORMAL,NONE,TRAIN
m-001,2025-09-19,9,11,813.67,73.97,0,Friday,4,0,3.82,2.19,477.52,266.88,3.28,1.26,1.88,0,NORMAL,NONE,TRAIN
m-001,2025-09-19,10,6,871.64,145.27,0,Friday,4,0,4.22,2.71,496.2,270.76,0.66,1.39,0.422,0,NORMAL,NONE,TRAIN
m-001,2025-09-19,11,3,320.76,106.92,0,Friday,4,0,4.32,2.67,515.96,276.87,-0.49,-0.71,-0.306,0,NORMAL,NONE,TRAIN
m-001,2025-09-19,12,2,451.08,225.54,0,Friday,4,0,4.25,2.61,506.2,273.0,-0.86,-0.2,-0.529,0,NORMAL,NONE,TRAIN
m-001,2025-09-19,13,13,1334.1,102.62,0,Friday,4,0,4.14,2.59,503.57,266.36,3.42,3.12,2.14,0,NORMAL,NONE,TRAIN
m-001,2025-09-19,14,9,1172.66,130.3,0,Friday,4,0,4.55,3.16,541.32,314.52,1.41,2.01,0.978,0,NORMAL,NONE,TRAIN
m-001,2025-09-19,15,3,428.44,142.81,0,Friday,4,0,4.74,3.22,568.77,334.3,-0.54,-0.42,-0.367,0,NORMAL,NONE,TRAIN
m-001,2025-09-19,16,6,785.17,130.86,0,Friday,4,0,4.67,3.17,562.93,328.2,0.42,0.68,0.285,0,NORMAL,NONE,TRAIN
m-001,2025-09-19,17,4,499.26,124.82,0,Friday,4,0,4.83,3.13,590.57,317.18,-0.27,-0.29,-0.172,0,NORMAL,NONE,TRAIN
m-001,2025-09-19,18,9,1057.13,117.46,0,Friday,4,0,4.92,3.08,605.18,303.73,1.32,1.49,0.829,0,NORMAL,NONE,TRAIN
m-001,2025-09-19,19,3,201.0,67.0,0,Friday,4,0,5.0,3.16,628.19,316.46,-0.63,-1.35,-0.4,0,NORMAL,NONE,TRAIN
m-001,2025-09-19,20,3,458.9,152.97,0,Friday,4,0,4.92,3.19,599.48,322.87,-0.6,-0.44,-0.39,0,NORMAL,NONE,TRAIN
m-001,2025-09-19,21,4,438.58,109.65,0,Friday,4,0,4.92,3.19,601.45,321.82,-0.29,-0.51,-0.187,0,NORMAL,NONE,TRAIN
m-001,2025-09-19,22,1,75.28,75.28,0,Friday,4,0,4.71,3.07,590.7,322.81,-1.21,-1.6,-0.788,0,NORMAL,NONE,TRAIN
m-001,2025-09-20,6,1,268.53,268.53,0,Saturday,5,1,4.54,3.16,563.5,337.88,-1.12,-0.87,-0.78,0,NORMAL,NONE,TRAIN
m-001,2025-09-20,8,4,392.07,98.02,0,Saturday,5,1,4.38,3.24,549.29,342.99,-0.12,-0.46,-0.087,0,NORMAL,NONE,TRAIN
m-001,2025-09-20,9,6,1540.69,256.78,0,Saturday,5,1,4.46,3.2,560.16,333.15,0.48,2.94,0.345,0,NORMAL,NONE,TRAIN
m-001,2025-09-20,10,8,755.31,94.41,0,Saturday,5,1,4.5,3.22,590.05,385.81,1.09,0.43,0.778,0,NORMAL,NONE,TRAIN
m-001,2025-09-20,11,4,431.84,107.96,0,Saturday,5,1,4.67,3.29,596.2,387.27,-0.2,-0.42,-0.143,0,NORMAL,NONE,TRAIN
